event_id,location,date,elevation_m,avg_slope_deg,distance_to_stream_m,drainage_capacity_index,rainfall_1h_mm,rainfall_24h_mm,soil_moisture_pct,pore_water_pressure_kpa,vibration_index,incident_type,hazard_occurred
EV-SYN-POS-009,Himalayan Catchment Node 10,2022-07-15,2873.7,30.9,112.7,0.52,92.8,428.5,81.1,18.1,0.315,Flash Flood / Landslide Event,1
EV-SYN-POS-010,Himalayan Catchment Node 11,2022-07-15,1891.6,28.8,102.7,0.5,103.1,394.7,89.6,22.4,0.296,Flash Flood / Landslide Event,1
EV-SYN-POS-011,Himalayan Catchment Node 12,2022-07-15,3245.3,35.0,41.0,0.59,82.5,490.3,74.9,25.2,0.574,Flash Flood / Landslide Event,1
EV-SYN-POS-012,Himalayan Catchment Node 1,2022-07-15,1899.6,47.4,136.5,0.38,52.1,291.3,92.4,20.4,0.556,Flash Flood / Landslide Event,1
EV-SYN-POS-013,Himalayan Catchment Node 2,2022-07-15,1463.7,38.0,48.9,0.45,105.7,431.2,88.3,23.6,0.833,Flash Flood / Landslide Event,1
EV-SYN-POS-014,Himalayan Catchment Node 3,2022-07-15,2293.9,51.1,52.7,0.44,56.4,234.9,83.1,18.8,0.417,Flash Flood / Landslide Event,1
EV-SYN-POS-015,Himalayan Catchment Node 4,2022-07-15,1518.8,49.8,51.1,0.5,108.9,432.0,89.8,22.5,0.687,Flash Flood / Landslide Event,1
EV-SYN-POS-016,Himalayan Catchment Node 5,2022-07-15,2593.8,36.8,102.2,0.51,41.8,257.3,74.8,16.9,0.605,Flash Flood / Landslide Event,1
EV-SYN-POS-017,Himalayan Catchment Node 6,2022-07-15,2326.6,44.3,22.2,0.42,83.4,340.1,80.1,27.4,0.333,Flash Flood / Landslide Event,1
EV-SYN-POS-018,Himalayan Catchment Node 7,2022-07-15,3234.3,36.2,34.8,0.61,54.3,330.9,84.4,24.4,0.395,Flash Flood / Landslide Event,1
EV-SYN-POS-019,Himalayan Catchment Node 8,2022-07-15,3180.9,30.2,136.6,0.54,60.4,301.9,93.3,31.3,0.718,Flash Flood / Landslide Event,1
EV-SYN-POS-020,Himalayan Catchment Node 9,2022-07-15,1555.6,43.4,30.9,0.62,80.5,251.2,87.3,19.3,0.346,Flash Flood / Landslide Event,1
EV-SYN-POS-021,Himalayan Catchment Node 10,2022-07-15,2634.3,41.2,109.9,0.42,88.4,339.5,89.4,27.2,0.76,Flash Flood / Landslide Event,1
EV-SYN-POS-022,Himalayan Catchment Node 11,2022-07-15,1406.1,43.8,93.9,0.46,54.9,288.5,80.2,27.0,0.629,Flash Flood / Landslide Event,1
EV-SYN-POS-023,Himalayan Catchment Node 12,2022-07-15,2469.2,47.1,85.3,0.5,49.6,276.2,70.6,21.5,0.356,Flash Flood / Landslide Event,1
EV-SYN-POS-024,Himalayan Catchment Node 1,2022-07-15,3212.7,50.6,144.0,0.46,36.2,248.6,95.1,32.8,0.762,Flash Flood / Landslide Event,1
EV-SYN-POS-025,Himalayan Catchment Node 2,2022-07-15,3072.5,35.1,70.1,0.45,47.7,300.6,88.1,25.9,0.308,Flash Flood / Landslide Event,1
EV-SYN-POS-026,Himalayan Catchment Node 3,2022-07-15,1508.2,42.8,148.7,0.51,100.8,534.4,88.3,23.5,0.426,Flash Flood / Landslide Event,1
EV-SYN-POS-027,Himalayan Catchment Node 4,2022-07-15,3107.6,47.4,125.3,0.62,73.4,379.2,86.9,27.0,0.727,Flash Flood / Landslide Event,1
EV-SYN-POS-028,Himalayan Catchment Node 5,2022-07-15,2026.3,49.4,63.9,0.38,78.4,280.2,84.1,21.6,0.604,Flash Flood / Landslide Event,1
EV-SYN-POS-029,Himalayan Catchment Node 6,2022-07-15,3009.7,28.7,24.9,0.46,44.5,271.1,75.6,22.8,0.301,Flash Flood / Landslide Event,1
EV-SYN-POS-030,Himalayan Catchment Node 7,2022-07-15,2389.4,29.2,89.1,0.54,89.5,523.2,78.4,25.4,0.412,Flash Flood / Landslide Event,1
EV-SYN-POS-031,Himalayan Catchment Node 8,2022-07-15,1255.8,38.5,30.2,0.64,97.7,487.0,74.5,17.9,0.4,Flash Flood / Landslide Event,1
EV-SYN-POS-032,Himalayan Catchment Node 9,2022-07-15,2652.4,41.2,112.9,0.43,106.6,547.6,85.9,23.6,0.399,Flash Flood / Landslide Event,1
EV-SYN-POS-033,Himalayan Catchment Node 10,2022-07-15,1231.7,36.5,118.5,0.38,38.5,208.5,88.3,24.9,0.309,Flash Flood / Landslide Event,1
EV-SYN-POS-034,Himalayan Catchment Node 11,2022-07-15,1581.0,39.8,81.6,0.48,64.9,352.9,71.2,19.1,0.626,Flash Flood / Landslide Event,1
EV-SYN-POS-035,Himalayan Catchment Node 12,2022-07-15,2649.1,40.1,131.3,0.4,40.3,207.6,85.2,29.2,0.595,Flash Flood / Landslide Event,1
EV-SYN-POS-036,Himalayan Catchment Node 1,2022-07-15,2208.2,37.3,103.6,0.51,105.6,482.9,93.5,23.0,0.292,Flash Flood / Landslide Event,1
EV-SYN-POS-037,Himalayan Catchment Node 2,2022-07-15,1407.8,30.4,22.4,0.55,40.3,240.6,70.6,23.0,0.419,Flash Flood / Landslide Event,1
EV-SYN-POS-038,Himalayan Catchment Node 3,2022-07-15,2583.7,30.8,110.6,0.61,90.1,468.9,74.6,23.7,0.734,Flash Flood / Landslide Event,1
EV-SYN-POS-039,Himalayan Catchment Node 4,2022-07-15,2018.4,51.8,73.6,0.58,60.6,401.0,81.2,25.8,0.703,Flash Flood / Landslide Event,1
EV-SYN-POS-040,Himalayan Catchment Node 5,2022-07-15,2311.6,30.5,137.3,0.6,59.0,350.7,70.3,23.7,0.305,Flash Flood / Landslide Event,1
EV-SYN-POS-041,Himalayan Catchment Node 6,2022-07-15,3291.3,35.7,143.5,0.52,82.4,361.8,78.5,24.1,0.701,Flash Flood / Landslide Event,1
EV-SYN-POS-042,Himalayan Catchment Node 7,2022-07-15,1400.7,47.0,122.7,0.5,39.3,227.6,93.1,24.7,0.32,Flash Flood / Landslide Event,1
EV-SYN-POS-043,Himalayan Catchment Node 8,2022-07-15,2560.1,31.4,119.0,0.38,41.3,221.5,91.4,28.5,0.299,Flash Flood / Landslide Event,1
EV-SYN-POS-044,Himalayan Catchment Node 9,2022-07-15,2023.4,30.0,148.3,0.46,96.0,586.0,89.6,24.1,0.3,Flash Flood / Landslide Event,1
EV-SYN-POS-045,Himalayan Catchment Node 10,2022-07-15,2133.3,46.7,92.6,0.62,43.3,202.6,82.2,18.7,0.321,Flash Flood / Landslide Event,1
EV-SYN-POS-046,Himalayan Catchment Node 11,2022-07-15,2841.3,30.8,104.4,0.53,107.2,431.2,92.6,23.1,0.828,Flash Flood / Landslide Event,1
EV-SYN-POS-047,Himalayan Catchment Node 12,2022-07-15,1295.0,28.3,146.1,0.62,74.6,417.5,84.4,29.2,0.564,Flash Flood / Landslide Event,1
EV-SYN-POS-048,Himalayan Catchment Node 1,2022-07-15,2200.0,43.1,110.4,0.54,78.8,418.3,77.3,26.6,0.784,Flash Flood / Landslide Event,1
EV-SYN-POS-049,Himalayan Catchment Node 2,2022-07-15,1810.2,38.9,100.6,0.41,69.8,322.8,72.0,25.0,0.842,Flash Flood / Landslide Event,1
EV-SYN-POS-050,Himalayan Catchment Node 3,2022-07-15,1881.0,44.8,89.7,0.59,86.4,363.9,91.4,31.4,0.685,Flash Flood / Landslide Event,1
EV-SYN-POS-051,Himalayan Catchment Node 4,2022-07-15,3252.0,42.7,74.4,0.61,38.4,168.6,91.1,31.7,0.34,Flash Flood / Landslide Event,1
EV-SYN-POS-052,Himalayan Catchment Node 5,2022-07-15,3333.8,42.3,69.5,0.6,97.9,432.6,77.1,17.5,0.769,Flash Flood / Landslide Event,1
EV-SYN-POS-053,Himalayan Catchment Node 6,2022-07-15,3392.6,47.5,150.0,0.52,92.7,558.5,76.4,21.3,0.327,Flash Flood / Landslide Event,1
EV-SYN-POS-054,Himalayan Catchment Node 7,2022-07-15,1703.0,50.9,98.8,0.55,81.4,325.3,87.5,25.2,0.713,Flash Flood / Landslide Event,1
EV-SYN-POS-055,Himalayan Catchment Node 8,2022-07-15,2414.2,40.5,130.8,0.52,100.7,404.2,70.7,22.5,0.622,Flash Flood / Landslide Event,1
EV-SYN-POS-056,Himalayan Catchment Node 9,2022-07-15,1500.0,44.9,47.7,0.35,61.3,315.0,81.4,27.5,0.459,Flash Flood / Landslide Event,1
EV-SYN-POS-057,Himalayan Catchment Node 10,2022-07-15,2072.4,40.3,121.9,0.54,99.7,537.6,94.1,26.7,0.405,Flash Flood / Landslide Event,1
EV-SYN-POS-058,Himalayan Catchment Node 11,2022-07-15,2283.8,39.0,147.4,0.45,82.5,301.9,73.4,17.4,0.341,Flash Flood / Landslide Event,1
EV-SYN-POS-059,Himalayan Catchment Node 12,2022-07-15,1600.1,31.3,103.3,0.45,102.3,470.2,74.5,18.2,0.275,Flash Flood / Landslide Event,1
EV-SYN-POS-060,Himalayan Catchment Node 1,2022-07-15,1589.4,32.1,56.2,0.38,44.0,217.4,79.5,22.7,0.664,Flash Flood / Landslide Event,1
EV-SYN-POS-061,Himalayan Catchment Node 2,2022-07-15,2581.4,28.9,123.9,0.37,100.5,527.6,77.2,25.1,0.699,Flash Flood / Landslide Event,1
EV-SYN-POS-062,Himalayan Catchment Node 3,2022-07-15,2015.0,32.4,47.2,0.5,81.4,355.5,89.4,20.1,0.401,Flash Flood / Landslide Event,1
EV-SYN-POS-063,Himalayan Catchment Node 4,2022-07-15,2325.7,45.1,136.4,0.51,43.0,238.3,76.3,19.5,0.476,Flash Flood / Landslide Event,1
EV-SYN-POS-064,Himalayan Catchment Node 5,2022-07-15,1665.2,28.5,61.9,0.45,44.0,295.4,87.7,28.3,0.549,Flash Flood / Landslide Event,1
EV-SYN-POS-065,Himalayan Catchment Node 6,2022-07-15,2491.1,30.1,89.8,0.57,67.4,252.6,79.4,24.1,0.592,Flash Flood / Landslide Event,1
EV-SYN-POS-066,Himalayan Catchment Node 7,2022-07-15,2532.7,36.5,148.2,0.42,42.6,182.6,74.2,18.1,0.421,Flash Flood / Landslide Event,1
EV-SYN-POS-067,Himalayan Catchment Node 8,2022-07-15,1376.5,32.2,136.6,0.51,65.8,375.0,80.3,27.8,0.769,Flash Flood / Landslide Event,1
EV-SYN-POS-068,Himalayan Catchment Node 9,2022-07-15,1576.0,47.6,53.5,0.55,104.7,493.2,77.3,24.7,0.362,Flash Flood / Landslide Event,1
EV-SYN-POS-069,Himalayan Catchment Node 10,2022-07-15,2316.7,35.8,75.3,0.42,43.6,238.7,85.1,20.4,0.539,Flash Flood / Landslide Event,1
EV-SYN-POS-070,Himalayan Catchment Node 11,2022-07-15,1940.5,40.8,26.7,0.39,39.8,263.6,91.1,23.0,0.659,Flash Flood / Landslide Event,1
EV-SYN-POS-071,Himalayan Catchment Node 12,2022-07-15,2237.5,46.2,97.4,0.47,61.2,401.5,95.1,22.5,0.689,Flash Flood / Landslide Event,1
EV-SYN-POS-072,Himalayan Catchment Node 1,2022-07-15,1346.3,50.5,43.6,0.57,78.1,410.7,90.7,22.3,0.348,Flash Flood / Landslide Event,1
EV-SYN-POS-073,Himalayan Catchment Node 2,2022-07-15,2663.4,31.9,125.9,0.51,61.9,362.0,91.2,25.3,0.476,Flash Flood / Landslide Event,1
EV-SYN-POS-074,Himalayan Catchment Node 3,2022-07-15,2844.7,39.1,59.2,0.5,52.4,319.6,84.1,28.4,0.625,Flash Flood / Landslide Event,1
EV-SYN-POS-075,Himalayan Catchment Node 4,2022-07-15,2581.0,30.8,142.2,0.45,45.4,293.4,83.9,28.2,0.723,Flash Flood / Landslide Event,1
EV-SYN-POS-076,Himalayan Catchment Node 5,2022-07-15,1746.7,31.6,60.5,0.57,37.5,248.2,92.8,24.5,0.743,Flash Flood / Landslide Event,1
EV-SYN-POS-077,Himalayan Catchment Node 6,2022-07-15,1480.5,30.7,130.0,0.47,94.8,330.9,88.8,27.8,0.635,Flash Flood / Landslide Event,1
EV-SYN-POS-078,Himalayan Catchment Node 7,2022-07-15,1754.0,44.7,90.6,0.45,48.6,318.6,80.4,22.5,0.818,Flash Flood / Landslide Event,1
EV-SYN-POS-079,Himalayan Catchment Node 8,2022-07-15,2313.0,31.7,96.2,0.53,36.4,284.7,84.7,26.3,0.803,Flash Flood / Landslide Event,1
EV-SYN-POS-080,Himalayan Catchment Node 9,2022-07-15,2467.8,45.0,39.8,0.53,66.8,404.8,94.1,26.2,0.318,Flash Flood / Landslide Event,1
EV-SYN-POS-081,Himalayan Catchment Node 10,2022-07-15,1474.3,51.6,129.1,0.63,100.2,467.9,80.4,18.3,0.451,Flash Flood / Landslide Event,1
EV-SYN-POS-082,Himalayan Catchment Node 11,2022-07-15,1933.7,47.3,20.6,0.47,75.3,429.1,79.0,25.0,0.521,Flash Flood / Landslide Event,1
EV-SYN-POS-083,Himalayan Catchment Node 12,2022-07-15,1509.9,33.4,78.8,0.4,72.4,369.9,79.4,23.5,0.629,Flash Flood / Landslide Event,1
EV-SYN-POS-084,Himalayan Catchment Node 1,2022-07-15,1591.7,28.3,106.3,0.64,46.1,210.0,95.9,27.4,0.607,Flash Flood / Landslide Event,1
EV-SYN-POS-085,Himalayan Catchment Node 2,2022-07-15,1661.8,29.6,117.5,0.62,50.4,192.9,82.3,24.1,0.289,Flash Flood / Landslide Event,1
EV-SYN-POS-086,Himalayan Catchment Node 3,2022-07-15,2353.7,46.6,78.9,0.48,65.1,306.1,74.7,24.8,0.818,Flash Flood / Landslide Event,1
EV-SYN-POS-087,Himalayan Catchment Node 4,2022-07-15,2616.8,37.0,55.2,0.47,36.9,203.9,87.1,19.5,0.383,Flash Flood / Landslide Event,1
EV-SYN-POS-088,Himalayan Catchment Node 5,2022-07-15,1243.4,33.5,107.3,0.38,95.0,372.1,76.2,17.7,0.396,Flash Flood / Landslide Event,1
EV-SYN-POS-089,Himalayan Catchment Node 6,2022-07-15,3026.5,45.3,131.2,0.47,85.1,319.8,93.3,20.7,0.301,Flash Flood / Landslide Event,1
EV-SYN-POS-090,Himalayan Catchment Node 7,2022-07-15,1599.2,33.0,23.4,0.52,66.6,420.6,78.9,20.0,0.478,Flash Flood / Landslide Event,1
EV-SYN-POS-091,Himalayan Catchment Node 8,2022-07-15,2573.1,42.2,54.8,0.47,76.4,337.9,94.7,30.2,0.334,Flash Flood / Landslide Event,1
EV-SYN-POS-092,Himalayan Catchment Node 9,2022-07-15,3168.0,48.8,83.4,0.59,66.9,232.5,84.1,25.4,0.405,Flash Flood / Landslide Event,1
EV-SYN-POS-093,Himalayan Catchment Node 10,2022-07-15,3365.7,31.3,128.5,0.51,47.9,193.8,93.8,22.1,0.596,Flash Flood / Landslide Event,1
EV-SYN-POS-094,Himalayan Catchment Node 11,2022-07-15,2633.1,34.6,92.0,0.6,50.5,178.5,93.4,31.2,0.608,Flash Flood / Landslide Event,1
EV-SYN-POS-095,Himalayan Catchment Node 12,2022-07-15,1585.8,42.4,106.5,0.62,66.4,311.1,71.2,17.2,0.693,Flash Flood / Landslide Event,1
EV-SYN-POS-096,Himalayan Catchment Node 1,2022-07-15,1739.8,30.0,98.4,0.47,56.7,289.5,77.7,22.8,0.536,Flash Flood / Landslide Event,1
EV-SYN-POS-097,Himalayan Catchment Node 2,2022-07-15,2811.7,43.9,141.8,0.41,37.3,205.4,71.3,20.3,0.608,Flash Flood / Landslide Event,1
EV-SYN-POS-098,Himalayan Catchment Node 3,2022-07-15,1434.5,36.0,120.2,0.37,89.6,430.1,81.3,20.5,0.741,Flash Flood / Landslide Event,1
EV-SYN-POS-099,Himalayan Catchment Node 4,2022-07-15,1798.7,47.2,110.3,0.53,62.1,282.8,73.6,25.3,0.518,Flash Flood / Landslide Event,1
EV-SYN-POS-100,Himalayan Catchment Node 5,2022-07-15,3120.5,32.4,90.4,0.57,95.5,491.4,92.1,23.2,0.544,Flash Flood / Landslide Event,1
EV-SYN-POS-101,Himalayan Catchment Node 6,2022-07-15,3276.9,33.3,148.4,0.36,87.9,477.6,84.8,28.7,0.27,Flash Flood / Landslide Event,1
EV-SYN-POS-102,Himalayan Catchment Node 7,2022-07-15,3233.7,44.7,58.7,0.64,105.8,499.0,92.0,24.0,0.747,Flash Flood / Landslide Event,1
EV-SYN-POS-103,Himalayan Catchment Node 8,2022-07-15,1706.0,28.9,97.5,0.39,40.8,240.1,88.8,20.3,0.439,Flash Flood / Landslide Event,1
EV-SYN-POS-104,Himalayan Catchment Node 9,2022-07-15,1901.3,40.9,122.8,0.54,101.4,468.5,70.6,23.5,0.263,Flash Flood / Landslide Event,1
EV-SYN-POS-105,Himalayan Catchment Node 10,2022-07-15,3265.9,49.0,88.8,0.59,109.8,472.3,80.5,22.7,0.627,Flash Flood / Landslide Event,1
EV-SYN-POS-106,Himalayan Catchment Node 11,2022-07-15,2890.2,49.0,147.9,0.48,66.6,348.4,72.9,19.4,0.422,Flash Flood / Landslide Event,1
EV-SYN-POS-107,Himalayan Catchment Node 12,2022-07-15,1292.6,35.1,50.4,0.36,109.1,460.1,87.7,21.8,0.82,Flash Flood / Landslide Event,1
EV-SYN-POS-108,Himalayan Catchment Node 1,2022-07-15,2118.7,46.9,31.6,0.61,105.9,477.4,74.3,25.9,0.389,Flash Flood / Landslide Event,1
EV-SYN-POS-109,Himalayan Catchment Node 2,2022-07-15,2537.0,50.6,104.5,0.5,52.3,211.5,74.8,24.1,0.46,Flash Flood / Landslide Event,1
EV-SYN-POS-110,Himalayan Catchment Node 3,2022-07-15,3144.3,29.4,146.0,0.63,109.6,393.4,89.7,27.9,0.342,Flash Flood / Landslide Event,1
EV-SYN-POS-111,Himalayan Catchment Node 4,2022-07-15,1692.4,47.6,49.2,0.51,79.5,361.2,92.8,23.6,0.328,Flash Flood / Landslide Event,1
EV-SYN-POS-112,Himalayan Catchment Node 5,2022-07-15,3096.7,49.3,144.2,0.59,84.1,373.2,80.6,21.6,0.406,Flash Flood / Landslide Event,1
EV-SYN-POS-113,Himalayan Catchment Node 6,2022-07-15,1378.3,45.4,84.5,0.42,86.2,340.1,82.9,23.4,0.605,Flash Flood / Landslide Event,1
EV-SYN-POS-114,Himalayan Catchment Node 7,2022-07-15,2691.6,47.8,65.2,0.52,55.0,362.2,87.1,28.8,0.77,Flash Flood / Landslide Event,1
EV-SYN-POS-115,Himalayan Catchment Node 8,2022-07-15,2734.4,45.0,128.8,0.55,81.4,409.3,92.9,31.0,0.268,Flash Flood / Landslide Event,1
EV-SYN-POS-116,Himalayan Catchment Node 9,2022-07-15,1937.3,47.8,36.8,0.57,47.1,320.4,83.2,18.4,0.422,Flash Flood / Landslide Event,1
EV-SYN-POS-117,Himalayan Catchment Node 10,2022-07-15,2590.0,42.8,147.6,0.43,82.6,420.2,72.8,23.2,0.575,Flash Flood / Landslide Event,1
EV-SYN-POS-118,Himalayan Catchment Node 11,2022-07-15,2591.8,51.1,64.4,0.63,42.7,301.8,71.8,18.6,0.675,Flash Flood / Landslide Event,1
EV-SYN-POS-119,Himalayan Catchment Node 12,2022-07-15,1960.9,29.6,95.7,0.54,38.4,297.7,95.2,30.2,0.328,Flash Flood / Landslide Event,1
EV-SYN-POS-120,Himalayan Catchment Node 1,2022-07-15,1248.7,46.2,23.2,0.45,71.6,411.8,81.6,20.9,0.848,Flash Flood / Landslide Event,1
EV-SYN-POS-121,Himalayan Catchment Node 2,2022-07-15,1560.0,38.2,78.7,0.59,87.0,312.2,87.7,26.8,0.414,Flash Flood / Landslide Event,1
EV-SYN-POS-122,Himalayan Catchment Node 3,2022-07-15,2151.1,50.8,39.6,0.63,66.5,344.1,77.1,26.8,0.496,Flash Flood / Landslide Event,1
EV-SYN-POS-123,Himalayan Catchment Node 4,2022-07-15,1668.8,49.5,49.9,0.36,83.9,396.1,82.3,28.5,0.361,Flash Flood / Landslide Event,1
EV-SYN-POS-124,Himalayan Catchment Node 5,2022-07-15,2896.0,48.8,121.0,0.6,92.1,424.8,70.8,24.1,0.62,Flash Flood / Landslide Event,1
EV-SYN-POS-125,Himalayan Catchment Node 6,2022-07-15,1458.1,47.1,82.6,0.39,86.4,365.1,82.8,18.9,0.599,Flash Flood / Landslide Event,1
EV-SYN-POS-126,Himalayan Catchment Node 7,2022-07-15,1882.8,34.5,123.7,0.49,35.9,167.6,82.5,24.6,0.425,Flash Flood / Landslide Event,1
EV-SYN-POS-127,Himalayan Catchment Node 8,2022-07-15,2915.7,44.7,131.8,0.36,71.0,255.6,95.7,22.8,0.549,Flash Flood / Landslide Event,1
EV-SYN-POS-128,Himalayan Catchment Node 9,2022-07-15,2431.2,42.8,111.3,0.35,59.5,272.7,79.1,17.7,0.297,Flash Flood / Landslide Event,1
EV-SYN-POS-129,Himalayan Catchment Node 10,2022-07-15,2448.6,37.5,37.3,0.56,95.0,338.6,72.7,22.0,0.674,Flash Flood / Landslide Event,1
EV-SYN-POS-130,Himalayan Catchment Node 11,2022-07-15,1314.3,28.8,141.7,0.51,88.2,509.6,90.8,24.0,0.739,Flash Flood / Landslide Event,1
EV-SYN-POS-131,Himalayan Catchment Node 12,2022-07-15,2404.7,29.9,136.3,0.6,68.9,365.3,89.0,20.5,0.286,Flash Flood / Landslide Event,1
EV-SYN-POS-132,Himalayan Catchment Node 1,2022-07-15,3117.9,33.9,40.7,0.42,108.2,416.2,90.5,27.7,0.549,Flash Flood / Landslide Event,1
EV-SYN-POS-133,Himalayan Catchment Node 2,2022-07-15,1702.6,41.3,113.5,0.65,108.1,502.0,87.7,20.1,0.268,Flash Flood / Landslide Event,1
EV-SYN-POS-134,Himalayan Catchment Node 3,2022-07-15,3110.2,34.2,80.1,0.57,90.7,390.9,79.6,27.7,0.274,Flash Flood / Landslide Event,1
EV-SYN-POS-135,Himalayan Catchment Node 4,2022-07-15,2165.0,48.8,95.2,0.57,71.5,446.9,81.0,20.7,0.605,Flash Flood / Landslide Event,1
EV-SYN-POS-136,Himalayan Catchment Node 5,2022-07-15,2570.5,49.9,47.4,0.54,90.0,351.8,93.6,22.8,0.393,Flash Flood / Landslide Event,1
EV-SYN-POS-137,Himalayan Catchment Node 6,2022-07-15,3079.6,51.3,43.5,0.5,53.5,326.0,83.4,22.2,0.606,Flash Flood / Landslide Event,1
EV-SYN-POS-138,Himalayan Catchment Node 7,2022-07-15,3332.7,31.9,70.8,0.43,84.3,381.0,73.4,25.4,0.522,Flash Flood / Landslide Event,1
EV-SYN-POS-139,Himalayan Catchment Node 8,2022-07-15,1573.5,33.7,29.6,0.51,60.3,350.1,76.5,23.0,0.674,Flash Flood / Landslide Event,1
EV-SYN-POS-140,Himalayan Catchment Node 9,2022-07-15,1280.7,32.0,41.8,0.57,84.8,420.1,90.9,26.9,0.771,Flash Flood / Landslide Event,1
EV-SYN-POS-141,Himalayan Catchment Node 10,2022-07-15,1793.4,32.9,34.5,0.37,74.8,405.5,73.2,20.4,0.81,Flash Flood / Landslide Event,1
EV-SYN-POS-142,Himalayan Catchment Node 11,2022-07-15,1291.5,35.6,85.9,0.39,109.0,575.9,94.7,28.7,0.771,Flash Flood / Landslide Event,1
EV-SYN-POS-143,Himalayan Catchment Node 12,2022-07-15,2275.5,38.9,87.0,0.55,45.5,181.7,88.3,21.7,0.654,Flash Flood / Landslide Event,1
EV-SYN-POS-144,Himalayan Catchment Node 1,2022-07-15,2679.7,51.3,32.2,0.48,100.1,390.0,91.8,31.5,0.66,Flash Flood / Landslide Event,1
EV-SYN-POS-145,Himalayan Catchment Node 2,2022-07-15,3111.6,39.9,100.3,0.52,37.3,275.1,87.6,21.7,0.645,Flash Flood / Landslide Event,1
EV-SYN-POS-146,Himalayan Catchment Node 3,2022-07-15,1434.5,37.5,104.7,0.55,110.0,406.3,80.6,26.8,0.719,Flash Flood / Landslide Event,1
EV-SYN-POS-147,Himalayan Catchment Node 4,2022-07-15,3132.7,41.6,116.0,0.47,59.5,352.8,89.8,29.1,0.511,Flash Flood / Landslide Event,1
EV-SYN-POS-148,Himalayan Catchment Node 5,2022-07-15,2397.9,47.6,35.6,0.35,59.3,274.4,88.1,23.8,0.519,Flash Flood / Landslide Event,1
EV-SYN-POS-149,Himalayan Catchment Node 6,2022-07-15,1700.0,33.7,68.5,0.37,80.3,424.3,82.1,22.1,0.768,Flash Flood / Landslide Event,1
EV-SYN-NEG-000,Himalayan Catchment Node 1,2022-05-10,1256.4,29.0,217.7,0.62,6.8,17.9,38.2,5.9,0.065,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-001,Himalayan Catchment Node 2,2022-05-10,2779.9,35.7,334.5,0.83,0.3,8.8,15.3,2.5,0.091,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-002,Himalayan Catchment Node 3,2022-05-10,1332.6,21.6,374.5,0.83,6.3,4.6,34.4,4.3,0.036,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-003,Himalayan Catchment Node 4,2022-05-10,2386.2,23.3,331.1,0.61,11.0,32.2,25.9,3.7,0.021,Normal / Non-Hazardous Baseline,0
